,filename,width,height
464,dog_0116._slice1.jpg,125,215
465,dog_0116._slice2.jpg,125,215
466,dog_0116._slice3.jpg,125,215
467,dog_0116._slice4.jpg,125,215
468,dog_0117._slice1.jpg,127,67
469,dog_0117._slice2.jpg,127,67
470,dog_0117._slice3.jpg,127,67
471,dog_0117._slice4.jpg,127,67
472,dog_0118._slice1.jpg,61,58
473,dog_0118._slice2.jpg,61,58
474,dog_0118._slice3.jpg,61,58
475,dog_0118._slice4.jpg,61,58
476,dog_0119._slice1.jpg,51,173
477,dog_0119._slice2.jpg,51,173
478,dog_0119._slice3.jpg,51,173
479,dog_0119._slice4.jpg,51,173
480,dog_0120._slice1.jpg,192,176
481,dog_0120._slice2.jpg,192,176
482,dog_0120._slice3.jpg,192,176
483,dog_0120._slice4.jpg,192,176
484,dog_0121._slice1.jpg,149,229
485,dog_0121._slice2.jpg,149,229
486,dog_0121._slice3.jpg,149,229
487,dog_0121._slice4.jpg,149,229
488,dog_0122._slice1.jpg,200,147
489,dog_0122._slice2.jpg,200,147
490,dog_0122._slice3.jpg,200,147
491,dog_0122._slice4.jpg,200,147
492,dog_0123._slice1.jpg,116,179
493,dog_0123._slice2.jpg,116,179
494,dog_0123._slice3.jpg,116,179
495,dog_0123._slice4.jpg,116,179
496,dog_0124._slice1.jpg,235,235
497,dog_0124._slice2.jpg,235,235
498,dog_0124._slice3.jpg,235,235
499,dog_0124._slice4.jpg,235,235
500,dog_0125._slice1.jpg,211,229
501,dog_0125._slice2.jpg,211,229
502,dog_0125._slice3.jpg,211,229
503,dog_0125._slice4.jpg,211,229
504,dog_0126._slice1.jpg,177,220
505,dog_0126._slice2.jpg,177,220
506,dog_0126._slice3.jpg,177,220
507,dog_0126._slice4.jpg,177,220
508,dog_0127._slice1.jpg,108,158
509,dog_0127._slice2.jpg,108,158
510,dog_0127._slice3.jpg,108,158
511,dog_0127._slice4.jpg,108,158
512,dog_0128._slice1.jpg,132,204
513,dog_0128._slice2.jpg,132,204
514,dog_0128._slice3.jpg,132,204
515,dog_0128._slice4.jpg,132,204
516,dog_0129._slice1.jpg,171,213
517,dog_0129._slice2.jpg,171,213
518,dog_0129._slice3.jpg,171,213
519,dog_0129._slice4.jpg,171,213
520,dog_0130._slice1.jpg,230,156
521,dog_0130._slice2.jpg,230,156
522,dog_0130._slice3.jpg,230,156
523,dog_0130._slice4.jpg,230,156
524,dog_0131._slice1.jpg,235,186
525,dog_0131._slice2.jpg,235,186
526,dog_0131._slice3.jpg,235,186
527,dog_0131._slice4.jpg,235,186
528,dog_0132._slice1.jpg,147,174
529,dog_0132._slice2.jpg,147,174
530,dog_0132._slice3.jpg,147,174
531,dog_0132._slice4.jpg,147,174
532,dog_0133._slice1.jpg,172,155
533,dog_0133._slice2.jpg,172,155
534,dog_0133._slice3.jpg,172,155
